part;var;de;en
;OneDrive;"OneDrive";"OneDrive"
add_new;base_folder;"Basis-Ordner";"Base-Folder"
add_new;custom_base_folder;"Eigener Ordner";"New Folder"
add_new;custom_base_folder_input;"Ordnername";"Foldername"
add_new;custom_base_folder_input_info;"Mit führendem /";"With leading /"
add_new;default_base_folder;"Hauptverzeichnis";"Main folder"
;app_secret;"App-Secret";"App-Name"
asl;open_msoffice;"In Office Online öffnen";"Open in Office Online"
;client_id;"Client-ID";"Client-ID"
;client_secret;"Client-Secret";"Client-Secret"
;client_type;"Client";"Client"
config_info;client_id;"ID der in Windows Azure registrierten App";"ID of the registred Client in Windows Azure"
config_info;client_secret;"In Wondows Azure sichtbar";"View in Windows Azure"
config_info;client_type;"Typ der API";"API-Type"
config_info;ip_resolve_v4;"Aktivieren, falls vom Server benötigt";"Activate if needed on server"
config_info;tenant_id;"ID der Office365 Instanz";"ID of the Office365 Instance"
config_info;tenant_name;"Name der Office365 Instanz";"Name of the Office365 Instance"
;configuration;"Konfiguration";"Configuration"
create;info;"Microsoft OneDrive Business";"Microsoft OneDrive Business"
info;token_expires;"Acces-Token läuft aus";"Access-Token expires"
;ip_resolve_v4;"IP V4 Auflösung";"Resolve IP V4"
;tenant_id;"Tenant-ID";"Tenant-ID"
;tenant_name;"Tenant-Name";"Tenant-Name"